Name,Year,Rating
The Heavenly Kid,1985,3
Home Alone,1990,4
Home Alone 2: Lost in New York,1992,3.5
Barry Lyndon,1975,5
Star Wars: Episode III – Revenge of the Sith,2005,4
Star Wars: The Force Awakens,2015,3
Star Wars: The Rise of Skywalker,2019,2.5
Clue,1985,4.5
Toy Story 2,1999,4.5
Toy Story 4,2019,4
Mary Poppins,1964,4
Alice in Wonderland,2010,1.5
Tomorrowland,2015,2
Gidget,1959,2
Psycho,1960,4.5
12 Angry Men,1957,4
This Is Spinal Tap,1984,4.5
Austin Powers: International Man of Mystery,1997,3.5
True Grit,1969,3.5
My Cousin Vinny,1992,4
Ghost,1990,3.5
Twilight,2008,2
I Am a Fugitive from a Chain Gang,1932,3.5
Sunstone,1979,3
A Dog's Life,1918,4
Romeo + Juliet,1996,3
Moulin Rouge!,2001,3.5
Strictly Ballroom,1992,2.5
Inception,2010,4.5
Nine to Five,1980,3.5
All of Me,1984,2.5
The Fugitive,1993,4
Glengarry Glen Ross,1992,4
21,2008,2
Outbreak,1995,3.5
Michael Jackson's Thriller,1983,4
Big Business,1988,2
The Crucible,1996,2
Knives Out,2019,4
All the President's Men,1976,4.5
Murder on the Orient Express,1974,4
Cape Fear,1962,4
Ender's Game,2013,1
Canadian Bacon,1995,3.5
National Lampoon's Christmas Vacation,1989,3.5
The Matrix Reloaded,2003,3.5
The Matrix Revolutions,2003,3
Signs,2002,3.5
Wonder Woman,2017,2.5
The Goonies,1985,3.5
Ant-Man,2015,3.5
Top Gun,1986,3
Avengers: Age of Ultron,2015,3.5
The Little Mermaid,1989,3
The Lego Movie,2014,4
Big,1988,3
The Hobbit: An Unexpected Journey,2012,3
Robin Hood,1973,4
Beetlejuice,1988,3
X-Men: Days of Future Past,2014,3
Labyrinth,1986,3
Dirty Dancing,1987,3.5
Grease,1978,3
Ace Ventura: Pet Detective,1994,3.5
Big Hero 6,2014,3
Pirates of the Caribbean: Dead Men Tell No Tales,2017,2.5
Superman,1978,3.5
National Treasure,2004,4
The Mummy,1999,3
The Man Who Knew Too Much,1934,3.5
Jamaica Inn,1939,3
Number Seventeen,1932,1.5
Ralph Breaks the Internet,2018,2.5
Aladdin,2019,2.5
Frozen II,2019,2.5
Frozen,2013,3
The Emperor's New Groove,2000,4
Wreck-It Ralph,2012,3
Atlantis: The Lost Empire,2001,3.5
Moana,2016,3
The Angry Birds Movie,2016,2
The Emoji Movie,2017,0.5
Spy Kids,2001,2.5
The Faculty,1998,2.5
Spy Kids 3-D: Game Over,2003,2
Spy Kids 2: The Island of Lost Dreams,2002,1.5
Spy Kids: All the Time in the World,2011,1
Night at the Museum: Secret of the Tomb,2014,1.5
No Country for Old Men,2007,4.5
Rashomon,1950,3
Little Shop of Horrors,1986,3.5
Waiting for Guffman,1996,4.5
Cars,2006,4
Harvey,1950,4
Spaceballs,1987,3.5
"Hello, Dolly!",1969,2.5
Minority Report,2002,3.5
Three Days of the Condor,1975,3.5
Nosferatu,1922,4
The Princess Bride,1987,4
Cabaret,1972,4
Mission: Impossible,1996,4
Key Largo,1948,3.5
Saving Mr. Banks,2013,3.5
Kung Fu Panda,2008,3.5
Hook,1991,2.5
The Secret Life of Walter Mitty,2013,3
3:10 to Yuma,2007,3
Tombstone,1993,4
Tomorrow Never Dies,1997,3.5
Quantum of Solace,2008,3.5
Wings,1927,3.5
Conspiracy Theory,1997,3.5
Black Panther: Wakanda Forever,2022,2.5
Fantastic Beasts: The Secrets of Dumbledore,2022,2
Moonfall,2022,1
The Matrix Resurrections,2021,1.5
Jungle Cruise,2021,3
Ant-Man and the Wasp,2018,3
Ready Player One,2018,3
Black Panther,2018,3.5
Murder on the Orient Express,2017,3.5
X-Men: Apocalypse,2016,2.5
The Revenant,2015,3.5
Thor: The Dark World,2013,2.5
Iron Man 3,2013,3
Captain America: The First Avenger,2011,3.5
Thor,2011,3
Harry Potter and the Deathly Hallows: Part 1,2010,4
Iron Man 2,2010,2.5
Harry Potter and the Half-Blood Prince,2009,4
WALL·E,2008,4
Indiana Jones and the Kingdom of the Crystal Skull,2008,3.5
The Invasion,2007,3
Harry Potter and the Order of the Phoenix,2007,4
Harry Potter and the Goblet of Fire,2005,4
The Village,2004,3
"I, Robot",2004,3
The Terminal,2004,3.5
Harry Potter and the Chamber of Secrets,2002,4
Star Wars: Episode II – Attack of the Clones,2002,3.5
Spider-Man,2002,3.5
A Knight's Tale,2001,3
Remember the Titans,2000,3.5
"O Brother, Where Art Thou?",2000,4
Double Jeopardy,1999,3
Muppets from Space,1999,2
You've Got Mail,1998,3
Titanic,1997,4.5
Volcano,1997,3
The Rock,1996,3
Billy Madison,1995,3.5
The Firm,1993,3
City Slickers,1991,3
Back to the Future Part III,1990,3
Back to the Future Part II,1989,3.5
Who's Harry Crumb?,1989,1
Scrooged,1988,1.5
Empire of the Sun,1987,2.5
Rambo: First Blood Part II,1985,3
The Breakfast Club,1985,3.5
WarGames,1983,2.5
Tootsie,1982,2
E.T. the Extra-Terrestrial,1982,4
Soylent Green,1973,4
To Kill a Mockingbird,1962,3.5
Invasion of the Body Snatchers,1956,4
Invasion of the Body Snatchers,1978,4.5
The Snows of Kilimanjaro,1952,2
Fantasia,1940,3
Bringing Up Baby,1938,2.5
Frankenstein,1931,4
Bedknobs and Broomsticks,1971,2
One Hundred and One Dalmatians,1961,3
The Sword in the Stone,1963,3.5
The Rescuers,1977,2.5
The Many Adventures of Winnie the Pooh,1977,4
Onward,2020,3
Cars 2,2011,3.5
Cars 3,2017,2.5
The Good Dinosaur,2015,2.5
Bao,2018,3.5
Piper,2016,4
Lava,2014,3
Geri's Game,1997,4
For the Birds,2000,4
Burrow,2020,3.5
Day & Night,2010,3.5
Jack-Jack Attack,2005,3
La luna,2011,3.5
Toy Story of Terror!,2013,3.5
Mike's New Car,2002,3
Partly Cloudy,2009,3
Presto,2008,4
Luxo Jr.,1986,3.5
Lifted,2006,3.5
Tin Toy,1988,3
One Man Band,2005,3.5
Boundin',2003,2.5
Toy Story That Time Forgot,2014,3
BURN·E,2008,3.5
Hawaiian Vacation,2011,3
Mater and the Ghostlight,2006,3.5
Partysaurus Rex,2012,3
The Adventures of André and Wally B.,1984,3
Red's Dream,1987,3
Tokyo Mater,2008,3
Air Mater,2011,3
El Materdor,2008,3
Mater the Greater,2008,3
Unidentified Flying Mater,2009,3
Mater Private Eye,2010,3.5
Monster Truck Mater,2010,2.5
Heavy Metal Mater,2010,2.5
Time Travel Mater,2012,3
Rescue Squad Mater,2008,3
Moon Mater,2010,2.5
Bugged,2013,2.5
Alice in Wonderland,1951,3
Bambi,1942,3.5
Peter Pan,1953,3
Sleeping Beauty,1959,3
Steamboat Willie,1928,3.5
The Parent Trap,1961,3
Three Little Pigs,1933,3
The Absent-Minded Professor,1961,2.5
The Nightmare Before Christmas,1993,3.5
Mulan,1998,3.5
Pirates of the Caribbean: Dead Man's Chest,2006,3.5
Beauty and the Beast,1991,4
Pirates of the Caribbean: At World's End,2007,3
Beauty and the Beast,2017,3.5
The Parent Trap,1998,3
Maleficent,2014,2.5
Hocus Pocus,1993,3
Enchanted,2007,3
Freaky Friday,2003,3
Pirates of the Caribbean: On Stranger Tides,2011,3
TRON: Legacy,2010,3
Meet the Robinsons,2007,2.5
The Muppet Christmas Carol,1992,4
Into the Woods,2014,2.5
Mary Poppins Returns,2018,2
The Santa Clause,1994,3.5
A Christmas Carol,2009,3
James and the Giant Peach,1996,3
National Treasure: Book of Secrets,2007,3
"Honey, I Shrunk the Kids",1989,3
A Wrinkle in Time,2018,1
The Great Mouse Detective,1986,3
The Rocketeer,1991,3.5
The Santa Clause 3: The Escape Clause,2006,0.5
The Rescuers Down Under,1990,2.5
Muppet Treasure Island,1996,3
Around the World in 80 Days,2004,2.5
The Tigger Movie,2000,3
The Three Musketeers,1993,3
Inspector Gadget 2,2003,1
Bruce Almighty,2003,3
Evan Almighty,2007,2
Gandhi,1982,4
Argo,2012,4
Terminator 3: Rise of the Machines,2003,3.5
The Music Man,1962,3
Downhill,1927,2
The Conversation,1974,3.5
Young Frankenstein,1974,4.5
Bridge to Terabithia,2007,2.5
Elf,2003,3.5
The Great Escape,1963,3.5
Quiz Show,1994,4
Four Weddings and a Funeral,1994,3.5
The Dark Knight,2008,4.5
Guardians of the Galaxy,2014,4
Guardians of the Galaxy Vol. 3,2023,3.5
Paddington,2014,3
The Bourne Identity,2002,4
The Spiderwick Chronicles,2008,2
Charlie and the Chocolate Factory,2005,3.5
The Golden Compass,2007,2
The Godfather Part II,1974,4.5
Sleepless in Seattle,1993,3
While You Were Sleeping,1995,3
My Big Fat Greek Wedding,2002,3
Charade,1963,4
A Place in the Sun,1951,4
Witness for the Prosecution,1957,4.5
Up,2009,3.5
Robin Hood: Men in Tights,1993,3.5
Logan,2017,4
2 Fast 2 Furious,2003,2.5
The Fast and the Furious,2001,3
World of Tomorrow,2015,4
Apocalypse Now,1979,5
The Secret Life of Pets,2016,2
Megamind,2010,3.5
The Da Vinci Code,2006,3.5
The General,1926,5
The Hunger Games: Catching Fire,2013,3
The Italian Job,2003,3.5
To Have and Have Not,1944,4
Thor: Love and Thunder,2022,2.5
The Greatest Showman,2017,3.5
Wonder,2017,2.5
The Lego Batman Movie,2017,3.5
Batman v Superman: Dawn of Justice,2016,1.5
Monsters University,2013,2.5
The Great Gatsby,2013,3
Skyfall,2012,3.5
Miracle,2004,3
The Man Who Knew Too Little,1997,1
Desperado,1995,3
Knick Knack,1989,3
Ghostbusters,1984,4
Guess Who's Coming to Dinner,1967,3.5
The Dirty Dozen,1967,3.5
Goldfinger,1964,4
The Polar Express,2004,2.5
L'Homme Machine,1885,3
Ella Enchanted,2004,3
Rango,2011,3
Gattaca,1997,4
Whiplash,2013,4
One Week,1920,4
The Last Mimzy,2007,2.5
Motion Painting No. 1,1947,3.5
Meshes of the Afternoon,1943,4
The King and I,1956,3.5
Unhinged,2020,2.5
The Hand,1965,4.5
The Boxcar Children,2014,2.5
Selena,1997,3
Under the Same Moon,2007,2.5
Fermat's Room,2007,2.5
The Atomic Cafe,1982,4
Wallace & Gromit: The Curse of the Were-Rabbit,2005,4
Shaun the Sheep Movie,2015,3
The Boxtrolls,2014,2.5
The Boy in the Striped Pyjamas,2008,3
Inglourious Basterds,2009,4.5
WandaVision,2021,4
The Impossible Voyage,1904,4
The Big Shave,1967,3.5
Hot Fuzz,2007,4.5
John Wick: Chapter 2,2017,3.5
Butch Cassidy and the Sundance Kid,1969,4.5
Laura,1944,4
F for Fake,1973,4
RoboCop,1987,4
Patriot Games,1992,3
Finding Dory,2016,3.5
The Good Lie,2014,2
Batman,1989,4
Speed,1994,4
The Seventh Seal,1957,4
Tammy and the Bachelor,1957,3
The Outsiders,1983,3
Galaxy Quest,1999,3
The Meaning of Life,2005,4
Phineas and Ferb: Star Wars,2014,3.5
The Wrong Trousers,1993,5
Wonder Woman 1984,2020,2
The Prince of Egypt,1998,4
Captain Marvel,2019,2.5
Zootopia,2016,3.5
Minions,2015,3
Planes,2013,2
Turbo,2013,2
Mortal Engines,2018,2
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,2.5
Kronk's New Groove,2005,2.5
The Santa Clause 2,2002,1.5
Rambo III,1988,3
Blue Hawaii,1961,2.5
Double Indemnity,1944,4
Snow White and the Seven Dwarfs,1937,3.5
Six Shooter,2004,3.5
The Taking of Pelham One Two Three,1974,3.5
Apollo 13,1995,3.5
Shrek,2001,4
Transformers,2007,2.5
Armageddon,1998,3
Sherlock Holmes,2009,3
Hair-Raising Hare,1946,4
How the Grinch Stole Christmas!,1966,3.5
The Lady Vanishes,1938,4
The Magnificent Seven,1960,4
Frost/Nixon,2008,4
Ran,1985,4
Sherlock Gnomes,2018,2.5
The Hunt for Red October,1990,3.5
Troop Beverly Hills,1989,2.5
Pretty in Pink,1986,3
Pretty Woman,1990,3.5
Mrs. Doubtfire,1993,3.5
The Abyss,1989,3.5
"Crouching Tiger, Hidden Dragon",2000,3.5
Knight and Day,2010,3.5
In Bruges,2008,4.5
Breakfast at Tiffany's,1961,2
The Croods,2013,3
Rise of the Guardians,2012,2.5
8½,1963,3.5
Free Birds,2013,1
Jonah: A VeggieTales Movie,2002,3.5
The Pirates Who Don't Do Anything: A VeggieTales Movie,2008,3.5
Unbroken,2014,3
A Grand Day Out,1989,4.5
A Close Shave,1995,4
Raiders of the Lost Ark,1981,4
Madagascar 3: Europe's Most Wanted,2012,3
Footloose,1984,3
Madagascar,2005,3.5
Penguins of Madagascar,2014,2.5
Ice Age,2002,3
Bee Movie,2007,3.5
Cloudy with a Chance of Meatballs 2,2013,3
Home,2015,2.5
The Mask,1994,2
The Little Matchgirl,2006,3
Frozen Fever,2015,2.5
King Kong,1933,4
Ghost Rider,2007,2.5
A Charlie Brown Christmas,1965,4
A Charlie Brown Thanksgiving,1973,4
Kubo and the Two Strings,2016,3
Mr. Peabody & Sherman,2014,1.5
The Boss Baby,2017,2.5
Groundhog Day,1993,4.5
"VeggieTales: Rack, Shack & Benny",1995,3
No Time to Die,2021,3.5
Because of Winn-Dixie,2005,2
The Sandlot,1993,3
Milk,2008,4
Akeelah and the Bee,2006,3
Diary of a Wimpy Kid,2010,1.5
Bill & Ted's Excellent Adventure,1989,3.5
Bill & Ted's Bogus Journey,1991,2
Puss in Boots: The Last Wish,2022,3
The Fabelmans,2022,3.5
Stand by Me,1986,4.5
Paper Moon,1973,4
Burden of Dreams,1982,4
Barbie,2023,4
Reservoir Dogs,1992,4.5
Sister Act,1992,3
Moonstruck,1987,3.5
The Count of Monte Cristo,2002,3
Joker,2019,4
Roundhay Garden Scene,1888,2.5
Birdman or (The Unexpected Virtue of Ignorance),2014,4
Saboteur,1942,3.5
Eraserhead,1977,4
Sky Captain and the World of Tomorrow,2004,3
Tron,1982,3
Sneakers,1992,4
Batman Forever,1995,3
Weekend at Bernie's,1989,2.5
Harry and the Hendersons,1987,2
Zathura: A Space Adventure,2005,3
Super Size Me 2: Holy Chicken!,2017,3.5
Punishment Park,1971,4
The Twilight Saga: New Moon,2009,2
Dog Day Afternoon,1975,4
The Driver,1978,4
Godzilla,1998,2.5
Godzilla,1954,4
"It's the Great Pumpkin, Charlie Brown",1966,4
12 Angry Men,1997,3.5
The Hustler,1961,4
The Ox-Bow Incident,1943,3.5
100% Beef,2013,0.5
Merry Madagascar,2009,3
Robin Hood: Prince of Thieves,1991,3.5
Best in Show,2000,4
Hamlet,1996,4
Ben-Hur,1959,5
The King of Comedy,1982,4
TÁR,2022,4
Grand Illusion,1937,4
Peeping Tom,1960,4.5
WHAT DID JACK DO?,2017,3.5
Ice Merchants,2022,4.5
Pas de Deux,1968,3
"history of the entire world, i guess",2017,4
Feast,2014,3.5
Hittin' the Trail for Hallelujah Land,1931,2.5
Sunday Go to Meetin' Time,1936,1
Duck and Cover,1952,3.5
#1 Fan: A Darkomentary,2005,2
There Will Be Blood,2007,4
Men in Black,1997,3.5
Barton Fink,1991,3.5
Beethoven Lives Upstairs,1992,2.5
Hearts of Darkness: A Filmmaker's Apocalypse,1991,4
The Fly,1980,3.5
Sisyphus,1974,3.5
Amadeus,1984,5
Aquaman,2018,2
Gaslight,1944,4
The Astronomer's Dream,1898,3.5
The Bewitched House,1907,4
Nanny McPhee,2005,2.5
The Lost World: Jurassic Park,1997,3
Notting Hill,1999,3.5
Full Metal Jacket,1987,3.5
Maverick,1994,3
The Blob,1958,2.5
Foreign Correspondent,1940,3.5
2010: The Year We Make Contact,1984,3.5
The Last of the Mohicans,1992,3.5
The Producers,1967,4
What's a Nice Girl Like You Doing in a Place Like This?,1963,4
How the Grinch Stole Christmas,2000,3.5
The Battle of Algiers,1966,4
Hackers,1995,2.5
Miss Pettigrew Lives for a Day,2008,3.5
Miracle on 34th Street,1947,4
Miracle on 34th Street,1994,3.5
Zelig,1983,4
The Philadelphia Story,1940,3.5
Fight Club,1999,4.5
Tropic Thunder,2008,4
Despicable Me 2,2013,3
Despicable Me,2010,3.5
Despicable Me 3,2017,2
Charlie's Angels,2000,3
2012,2009,3
Space Jam,1996,2.5
The Purple Rose of Cairo,1985,4.5
3 Men and a Baby,1987,2.5
Contact,1997,4
Gnomeo & Juliet,2011,3
Chicago,2002,3.5
The Manchurian Candidate,1962,4
The Web,2013,2.5
Sleuth,1972,4
The Day the Earth Stood Still,1951,4
Young and Innocent,1937,3
Trolls,2016,1.5
Mannequin,1987,2
Curious George: A Halloween Boo Fest,2013,3
Mr. & Mrs. Smith,2005,3
That Darn Cat!,1965,2.5
Wild Wild West,1999,0.5
Triumph of the Will,1935,3
Diabolique,1955,4
Family Plot,1976,4
The Bishop's Wife,1947,3.5
Hoch der Lambeth Valk,1941,4
Killers of the Flower Moon,2023,4.5
Shaun of the Dead,2004,4
My Dinner with Andre,1981,4
The Critic,1963,3.5
Wayne's World,1992,3.5
Rabbit of Seville,1950,4
Buccaneer Bunny,1948,4
"What's Opera, Doc?",1957,4
Hare Tonic,1945,4
The Great Piggy Bank Robbery,1946,4
Rabbit Hood,1949,4
Baseball Bugs,1946,4
The Old Grey Hare,1944,3.5
8 Ball Bunny,1950,3
Wild Target,2010,2
Now and Then - The Last Beatles Song,2023,3.5
The Christmas Chronicles,2018,2
Stargate,1994,3
The Skin Game,1931,1.5
Parasite,2019,5
Grumpy Old Men,1993,3
Dune,2021,4
The Killing,1956,4
And Then There Were None,1945,3
Man with a Movie Camera,1929,3.5
Duel,1971,3.5
The Sprinkler Sprinkled,1895,3
Crazy Rich Asians,2018,3
Annie Get Your Gun,1950,1.5
Man,2012,3
Scrooge,1970,3
Real Genius,1985,3
Die Hard,1988,4
The Christmas Chronicles: Part Two,2020,2
A Christmas Story,1983,4
Interstellar,2014,4
Gifted Hands: The Ben Carson Story,2009,2.5
The Apartment,1960,3.5
Django Unchained,2012,4
Splash,1984,2.5
Cool Runnings,1993,2.5
Twelve Angry Men,1954,3
Save Ralph,2021,4.5
Thin Watermelon,2010,2.5
Thingu,2012,4
Daybreak Express,1953,4.5
Double King,2017,4
The Cat Concerto,1947,4
Fiddler on the Roof,1971,4
Percy Jackson & the Olympians: The Lightning Thief,2010,1
One Flew Over the Cuckoo's Nest,1975,4
Fantastic Mr. Fox,2009,4
Spirited,2022,2.5
Nights of Cabiria,1957,4
I.Q.,1994,2
Planet of the Apes,1968,4.5
Spacy,1981,4
Thunder,1982,3.5
Planet 51,2009,2.5
I Confess,1953,4
The Majestic,2001,3.5
The Verdict,1982,4
Lincoln,2012,4
Asteroid City,2023,3.5
The Post,2017,3.5
Singin' in the Rain,1952,4.5
Uncharted,2022,2
Sweet Smell of Success,1957,4
The Addams Family,1991,3
Who Framed Roger Rabbit,1988,4
Dirty Rotten Scoundrels,1988,3.5
Godzilla Minus One,2023,4
Cinema Paradiso,1988,4.5
Hotel Transylvania 3: Summer Vacation,2018,1.5
Rogue One: A Star Wars Story,2016,4
Ace Ventura: When Nature Calls,1995,1.5
John Henry,2000,3
Paul Bunyan,1958,3
Star Wars: Episode I – The Phantom Menace,1999,4
Solo: A Star Wars Story,2018,3
The Love Bug,1968,3
Oppenheimer,2023,5
The Peanuts Movie,2015,3
Aliens,1986,3.5
It Happened One Night,1934,4
Zoolander,2001,3
Pride & Prejudice,2005,4
White Christmas,1954,3.5
One-Minute Time Machine,2014,3.5
Power Rangers,2017,1.5
Dune: Part Two,2024,4
Enola Holmes,2020,2.5
"Olive, the Other Reindeer",1999,3
Wonka,2023,3
Willy Wonka & the Chocolate Factory,1971,4
Mamma Mia!,2008,3
The Circus,1928,4
Carnival of Souls,1962,4
Anatomy of a Fall,2023,4.5
The Nut Job,2014,2
Mickey's Christmas Carol,1983,3.5
All Dogs Go to Heaven,1989,2
Recess: Taking the Fifth Grade,2003,2.5
Persuasion,1995,3.5
Back from Madness: The Struggle for Sanity,1996,2
Claymation Christmas Celebration,1987,3
Nabokov on Kafka,1989,2.5
Metamorphosis,2012,0.5
Sing,2016,2.5
The Thomas Crown Affair,1999,2.5
Woody Woodpecker,2017,0.5
The Social Network,2010,3.5
The Holdovers,2023,4.5
Vincent,1982,4
The Alphabet,1969,2.5
Neighbours,1952,3
Puparia,2020,3.5
Paperman,2012,4
Feral,2012,3
At Land,1944,4
Newark Athlete,1891,3
Stop Making Sense,1984,4
Passage of Venus,1874,2.5
A League of Their Own,1992,4
Saving Private Ryan,1998,4
Night and Fog,1956,4.5
Blazing Saddles,1974,4
Next,2007,2.5
Mad Max 2,1981,4
"The One and Only, Genuine, Original Family Band",1968,3
Hotel Transylvania 2,2015,2
VeggieTales: Josh and the Big Wall,1997,3
Furiosa: A Mad Max Saga,2024,4
Ferdinand,2017,2.5
Coco,2017,3.5
Fantastic Beasts: The Crimes of Grindelwald,2018,2
Fantastic Beasts and Where to Find Them,2016,3
The Office,1966,3.5
Kill Bill: Vol. 1,2003,4.5
The Musician Monkey,1878,2.5
Insomnia,2002,4
Die Hard 2,1990,4
Oklahoma!,1955,3.5
Hoodwinked Too! Hood VS. Evil,2011,1
Die Hard With a Vengeance,1995,3.5
Mad Max: Fury Road,2015,5
Inside Out 2,2024,3
Mad Max Beyond Thunderdome,1985,2.5
Once Upon a Time... in Hollywood,2019,4
Gun Crazy,1950,4
High Noon,1952,4
The Ten Commandments,1956,4
Vampyr,1932,3
What Dreams May Come,1998,3
Badlands,1973,4
